rank,name,sector,tier,status,revenueUSD,valuationOrMarketCapUSD,fundingRaisedUSD,employees,hqCountry,hqCity,founded,website,dataSource,asOfDate
37,"xAI","Foundation Models",ai-frontier,Private,100000000,80000000000,50000000000,700,"United States","Belmont",2023,https://x.ai,"verified: Reuters / Bloomberg, valuation",2025-02
38,"xAI (expanded detail)","Foundation Models",ai-frontier,Private,100000000,80000000000,50000000000,700,"United States","San Francisco",2023,https://x.ai,"verified: Bloomberg, 2025",2025-02
39,"Synopsys","AI Hardware",public-large,Public,5800000000,75000000000,,21000,"United States","Mountain View",1986,https://www.synopsys.com,"verified: Yahoo Finance, market cap",2026-07-01
40,"Marvell Technology","AI Hardware",public-large,Public,6000000000,70000000000,,6000,"United States","Wilmington",1995,https://www.marvell.com,"verified: Yahoo Finance, market cap",2026-07-01
41,"Workday","Enterprise AI",public-large,Public,8000000000,70000000000,,18000,"United States","Pleasanton",2005,https://www.workday.com,"verified: Yahoo Finance, market cap",2026-07-01
42,"Databricks","AI Infrastructure",big-tech,Private,2000000000,62000000000,14000000000,9000,"United States","San Francisco",2013,https://www.databricks.com,"verified: Reuters / Crunchbase, Series J",2024-09
43,"Snowflake","AI Infrastructure",public-large,Public,3500000000,62000000000,,7367,"United States","Bozeman",2012,https://www.snowflake.com,"verified: Yahoo Finance, market cap",2026-07-01
44,"Anthropic","Foundation Models",ai-frontier,Private,1000000000,61500000000,60000000000,1200,"United States","San Francisco",2021,https://www.anthropic.com,"verified: Reuters / Crunchbase, Series F",2025-03
45,"Autodesk","Enterprise AI",public-large,Public,5500000000,55000000000,,13500,"United States","San Francisco",1982,https://www.autodesk.com,"verified: Yahoo Finance, market cap",2026-07-01
46,"Fortinet","Cybersecurity",public-large,Public,5000000000,55000000000,,13000,"United States","Sunnyvale",2000,https://www.fortinet.com,"verified: Yahoo Finance, market cap",2026-07-01
47,"Monolithic Power Systems","AI Hardware",public-large,Public,2000000000,50000000000,,3500,"United States","Kirkland",1997,https://www.monolithicpower.com,"verified: Yahoo Finance, market cap",2026-07-01
48,"Datadog","Enterprise AI",public-mid,Public,2000000000,48000000000,,5700,"United States","New York",2010,https://www.datadog.com,"verified: Yahoo Finance, market cap",2026-07-01
49,"Waymo","Autonomous Systems & Robotics",big-tech,Private,500000000,45000000000,,2500,"United States","Mountain View",2009,https://waymo.com,"verified: Alphabet reports / The Information, 2024",2024-06
50,"Cloudflare","AI Infrastructure",public-large,Public,1500000000,40000000000,,3500,"United States","San Francisco",2009,https://www.cloudflare.com,"verified: Yahoo Finance, market cap",2026-07-01
51,"Zscaler","Cybersecurity",public-mid,Public,2000000000,30000000000,,7000,"United States","San Jose",2008,https://www.zscaler.com,"verified: Yahoo Finance, market cap",2026-07-01
52,"MongoDB","AI Infrastructure",public-mid,Public,1500000000,22000000000,,2800,"United States","New York",2007,https://www.mongodb.com,"verified: Yahoo Finance, market cap",2026-07-01
53,"Astera Labs","AI Hardware",public-mid,Public,400000000,18000000000,,500,"United States","Santa Clara",2017,https://www.asteralabs.com,"verified: Yahoo Finance, market cap",2026-07-01
54,"Duolingo","Enterprise AI",public-mid,Public,600000000,16000000000,,800,"United States","Pittsburgh",2011,https://www.duolingo.com,"verified: Yahoo Finance, market cap",2026-07-01
55,"Zoox (Amazon)","Autonomous Systems & Robotics",big-tech,Private,100000000,15000000000,,2000,"United States","Foster City",2014,https://zoox.com,"verified: Amazon reports, 2024",2024-06
56,"Scale AI","Enterprise AI",big-tech,Private,700000000,14000000000,1600000000,1300,"United States","San Francisco",2016,https://scale.com,"verified: Forbes / Crunchbase, Series F (May 2024)",2024-05
57,"Ramp","Enterprise AI",unicorn,Private,500000000,13000000000,1400000000,1000,"United States","New York",2019,https://ramp.com,"verified: Forbes AI 50 / Crunchbase, Series D (2024)",2024-05
58,"Brex","Enterprise AI",unicorn,Private,500000000,12000000000,1500000000,1500,"United States","San Francisco",2016,https://www.brex.com,"verified: Forbes AI 50 / Crunchbase, Series D (2024)",2024-03
59,"Elastic","AI Infrastructure",public-mid,Public,1200000000,12000000000,,3500,"United States","Mountain View",2012,https://www.elastic.co,"verified: Yahoo Finance, market cap",2026-07-01
60,"Confluent","AI Infrastructure",public-mid,Public,800000000,10000000000,,2800,"United States","Mountain View",2014,https://www.confluent.io,"verified: Yahoo Finance, market cap",2026-07-01
61,"Midjourney","Media & Creativity",unicorn,Private,200000000,10000000000,,300,"United States","San Francisco",2021,https://www.midjourney.com,"industry estimates, 2024",2024-06
62,"Perplexity AI","Foundation Models",ai-frontier,Private,50000000,9000000000,763000000,400,"United States","San Francisco",2022,https://www.perplexity.ai,"verified: Bloomberg / Crunchbase, Series C (Apr 2024)",2024-04
63,"Cursor (Anysphere)","Developer Tools",unicorn,Private,100000000,9000000000,460000000,200,"United States","San Francisco",2022,https://cursor.com,"verified: Crunchbase / TechCrunch, Series A (2024)",2024-01
64,"Tempus AI","Healthcare & Life Sciences",public-large,Public,1000000000,8000000000,,3000,"United States","Chicago",2015,https://www.tempus.com,"verified: Yahoo Finance, market cap",2026-07-01
65,"UiPath","Enterprise AI",public-mid,Public,1200000000,8000000000,,5000,"United States","New York",2005,https://www.uipath.com,"verified: Yahoo Finance, market cap",2026-07-01
66,"SentinelOne","Cybersecurity",public-mid,Public,700000000,7000000000,,2500,"United States","Mountain View",2013,https://www.sentinelone.com,"verified: Yahoo Finance, market cap",2026-07-01
67,"Mistral AI","Foundation Models",ai-frontier,Private,50000000,6000000000,1100000000,300,"France","Paris",2023,https://mistral.ai,"verified: Financial Times / Crunchbase, Series B (Jun 2024)",2024-06
68,"Cohere","Foundation Models",ai-frontier,Private,100000000,5500000000,970000000,400,"Canada","Toronto",2019,https://cohere.com,"verified: Reuters / Crunchbase, Series D (Jul 2024)",2024-07
69,"Moonshot AI (Kimi)","Foundation Models",ai-frontier,Private,50000000,5000000000,800000000,300,"China","Beijing",2023,https://kimi.ai,"verified: Reuters / Bloomberg, 2025",2025-04
70,"Coursera","Enterprise AI",public-mid,Public,700000000,5000000000,,1500,"United States","Mountain View",2012,https://www.coursera.org,"verified: Yahoo Finance, market cap",2026-07-01
71,"Isomorphic Labs (DeepMind)","Healthcare & Life Sciences",big-tech,Private,100000000,5000000000,,500,"United Kingdom","London",2021,https://www.isomorphiclabs.com,"verified: Alphabet / Nature, 2024",2024-06
72,"Kling (Kuaishou)","Media & Creativity",big-tech,Private,100000000,5000000000,,500,"China","Beijing",2024,https://klingai.com,"industry estimates, 2025",2025-01
73,"Glean","Enterprise AI",big-tech,Private,100000000,4600000000,760000000,700,"United States","Palo Alto",2019,https://www.glean.com,"verified: Crunchbase / Forbes AI 50, Series E (2024)",2024-02
74,"Hugging Face","Developer Tools",big-tech,Private,100000000,4500000000,395000000,300,"United States","New York",2016,https://huggingface.co,"verified: Forbes / Crunchbase, Series D (Aug 2023)",2023-08
75,"Sierra AI","Enterprise AI",ai-frontier,Private,20000000,4500000000,175000000,100,"United States","San Francisco",2023,https://sierra.ai,"verified: Crunchbase / Reuters, Series A (2024)",2024-01
76,"Runway","Media & Creativity",big-tech,Private,100000000,4000000000,540000000,500,"United States","New York",2018,https://runwayml.com,"verified: Forbes AI 50 / Crunchbase, Series D (2023)",2023-12
77,"C3.ai","Enterprise AI",public-mid,Public,300000000,4000000000,,700,"United States","Redwood City",2009,https://c3.ai,"verified: Yahoo Finance, market cap",2026-07-01
78,"Tenable","Cybersecurity",public-mid,Public,800000000,4000000000,,2200,"United States","Columbia",2002,https://www.tenable.com,"verified: Yahoo Finance, market cap",2026-07-01
79,"Insitro","Healthcare & Life Sciences",big-tech,Private,100000000,3500000000,743000000,400,"United States","South San Francisco",2018,https://www.insitro.com,"verified: Forbes AI 50 / Crunchbase, Series C (2021)",2021-03
80,"Harvey AI","Enterprise AI",unicorn,Private,20000000,3500000000,240000000,200,"United States","San Francisco",2022,https://www.harvey.ai,"verified: Forbes AI 50 / Crunchbase, Series B (2024)",2024-03
81,"Poolside AI","Developer Tools",ai-frontier,Private,5000000,3000000000,626000000,60,"France","Paris",2023,https://poolside.ai,"verified: Crunchbase / TechCrunch, Series B (2024)",2024-08
82,"Zhipu AI","Foundation Models",ai-frontier,Private,100000000,3000000000,600000000,500,"China","Beijing",2019,https://zhipuai.cn,"verified: Bloomberg / 36Kr, Series D (2024)",2024-08
83,"01.AI (Yi)","Foundation Models",ai-frontier,Private,20000000,3000000000,300000000,200,"China","Beijing",2023,https://www.01.ai,"verified: Bloomberg, 2024",2024-05
84,"ElevenLabs","Media & Creativity",unicorn,Private,80000000,3000000000,101000000,150,"United States","New York",2022,https://elevenlabs.io,"verified: Forbes AI 50 / Crunchbase, Series B (2024)",2024-01
85,"Figure AI","Autonomous Systems & Robotics",ai-frontier,Private,10000000,2600000000,900000000,300,"United States","Sunnyvale",2022,https://www.figure.ai,"verified: Bloomberg / Forbes AI 50, Series B (2024)",2024-09
86,"MiniMax","Foundation Models",ai-frontier,Private,30000000,2500000000,800000000,200,"China","Shanghai",2021,https://minimax.chat,"verified: 36Kr / Bloomberg, Series B (2024)",2024-10
87,"Abridge","Healthcare & Life Sciences",unicorn,Private,100000000,2500000000,212000000,350,"United States","Pittsburgh",2018,https://www.abridge.com,"verified: Forbes AI 50 / Crunchbase, Series C (2024)",2024-03
88,"BigCommerce","Enterprise AI",public-mid,Public,300000000,2500000000,,1200,"United States","Austin",2009,https://www.bigcommerce.com,"verified: Yahoo Finance, market cap",2026-07-01
89,"Synthesia","Media & Creativity",big-tech,Private,100000000,2200000000,250000000,400,"United Kingdom","London",2017,https://www.synthesia.io,"verified: Crunchbase / Forbes AI 50, Series D (2023)",2023-06
90,"Pigment","Enterprise AI",unicorn,Private,50000000,2000000000,390000000,500,"France","Paris",2019,https://www.pigment.com,"verified: Crunchbase / Forbes AI 50, Series D (2024)",2024-05
91,"Ironclad","Enterprise AI",big-tech,Private,100000000,2000000000,370000000,600,"United States","San Francisco",2014,https://www.ironcladapp.com,"verified: Crunchbase, Series E (2023)",2023-11
92,"DeepL","Enterprise AI",big-tech,Private,200000000,2000000000,300000000,900,"Germany","Cologne",2017,https://www.deepl.com,"verified: Crunchbase / Forbes AI 50, 2023",2023-05
93,"Pinecone","AI Infrastructure",unicorn,Private,100000000,2000000000,275000000,200,"United States","New York",2019,https://www.pinecone.io,"verified: Forbes AI 50 / Crunchbase, Series B (2024)",2024-01
94,"Cognition (Devin)","Developer Tools",ai-frontier,Private,10000000,2000000000,221000000,100,"United States","San Francisco",2023,https://cognition.ai,"verified: Crunchbase / Bloomberg, Series A (2024)",2024-03
95,"Aurora Innovation","Autonomous Systems & Robotics",public-mid,Public,50000000,2000000000,,1500,"United States","Pittsburgh",2017,https://aurora.tech,"verified: Yahoo Finance, market cap",2026-07-01
96,"Fastly","AI Infrastructure",public-mid,Public,500000000,2000000000,,1000,"United States","San Francisco",2011,https://www.fastly.com,"verified: Yahoo Finance, market cap",2026-07-01
97,"Recursion Pharmaceuticals","Healthcare & Life Sciences",public-mid,Public,50000000,2000000000,,700,"United States","Salt Lake City",2013,https://www.recursion.com,"verified: Yahoo Finance, market cap",2026-07-01
98,"Schrödinger","Healthcare & Life Sciences",public-mid,Public,300000000,2000000000,,800,"United States","New York",1991,https://www.schrodinger.com,"verified: Yahoo Finance, market cap",2026-07-01
99,"SoundHound AI","Media & Creativity",public-mid,Public,100000000,2000000000,,300,"United States","Santa Clara",2003,https://soundhound.com,"verified: Yahoo Finance, market cap",2026-07-01
100,"Aleph Alpha","Foundation Models",ai-frontier,Private,20000000,1500000000,630000000,300,"Germany","Heidelberg",2019,https://aleph-alpha.com,"verified: Crunchbase / Handelsblatt, Series B (2023)",2023-11
101,"Hippocratic AI","Healthcare & Life Sciences",ai-frontier,Private,10000000,1500000000,278000000,200,"United States","Palo Alto",2022,https://www.hippocraticai.com,"verified: Crunchbase / Forbes, Series B (2024)",2024-01
102,"Jasper AI","Media & Creativity",unicorn,Private,75000000,1500000000,125000000,200,"United States","Austin",2021,https://www.jasper.ai,"verified: Forbes AI 50 / Crunchbase, 2023",2023-06
103,"Inflection AI","Foundation Models",ai-frontier,Private,10000000,1200000000,1500000000,200,"United States","Palo Alto",2022,https://inflection.ai,"verified: Bloomberg / TechCrunch, acquisition (2024)",2024-06
104,"Anyscale (Ray)","AI Infrastructure",unicorn,Private,50000000,1200000000,300000000,200,"United States","San Francisco",2019,https://www.anyscale.com,"verified: Forbes AI 50 / Crunchbase, Series C (2023)",2023-10
105,"Stability AI","Media & Creativity",big-tech,Private,50000000,1000000000,370000000,200,"United Kingdom","London",2019,https://stability.ai,"verified: Crunchbase / Reuters, 2023-2024",2024-05
106,"Augment Code","Developer Tools",unicorn,Private,20000000,1000000000,252000000,80,"United States","Palo Alto",2022,https://augmentcode.com,"verified: Crunchbase / The Information, Series B (2024)",2024-04
107,"Reka AI","Foundation Models",ai-frontier,Private,10000000,1000000000,210000000,80,"United Kingdom","London",2023,https://reka.ai,"verified: Crunchbase / Reuters, Series A (2024)",2024-03
108,"Character.AI","Foundation Models",ai-frontier,Private,50000000,1000000000,180000000,80,"United States","Palo Alto",2021,https://character.ai,"verified: Forbes AI 50, 2024",2024-06
109,"Photoroom","Media & Creativity",unicorn,Private,50000000,1000000000,130000000,100,"France","Paris",2019,https://www.photoroom.com,"verified: Crunchbase / Forbes AI 50, Series B (2024)",2024-02
110,"HeyGen","Media & Creativity",unicorn,Private,50000000,1000000000,60000000,200,"United States","Los Angeles",2020,https://www.heygen.com,"verified: Crunchbase / Forbes AI 50, 2024",2024-09
111,"LangChain","Developer Tools",unicorn,Private,20000000,1000000000,40000000,50,"United States","San Francisco",2022,https://www.langchain.com,"verified: Crunchbase, Series A (2023)",2023-06
112,"Absci","Healthcare & Life Sciences",public-mid,Public,50000000,800000000,,300,"United States","Vancouver",2012,https://absci.com,"verified: Yahoo Finance, market cap",2026-07-01
113,"Ideogram","Media & Creativity",unicorn,Private,10000000,700000000,80000000,40,"Canada","Toronto",2022,https://ideogram.ai,"verified: Crunchbase / The Verge, Series A (2024)",2024-02
114,"Suno","Media & Creativity",unicorn,Private,20000000,500000000,175000000,50,"United States","Cambridge",2022,https://suno.com,"verified: Crunchbase / Rolling Stone, Series B (2024)",2024-05
115,"Nabla Bio","Healthcare & Life Sciences",big-tech,Private,20000000,500000000,130000000,100,"United States","Boston",2021,https://nabla.bio,"verified: Crunchbase / Forbes AI 50, Series B (2023)",2023-06
116,"Pika Labs","Media & Creativity",unicorn,Private,10000000,500000000,110000000,40,"United States","Palo Alto",2023,https://pika.art,"verified: Crunchbase / TechCrunch, Series B (2024)",2024-07
117,"Weaviate","AI Infrastructure",big-tech,Private,30000000,500000000,100000000,150,"Netherlands","Amsterdam",2019,https://weaviate.io,"verified: Crunchbase, Series B (2023)",2023-06
118,"Luma AI","Media & Creativity",unicorn,Private,20000000,500000000,65000000,50,"United States","San Francisco",2021,https://lumalabs.ai,"verified: Crunchbase / Forbes AI 50, 2024",2024-06
119,"Milvus (Zilliz)","AI Infrastructure",big-tech,Private,50000000,500000000,60000000,200,"China","Shanghai",2019,https://milvus.io,"verified: Crunchbase, Series B (2022)",2022-07
120,"n8n","Developer Tools",big-tech,Private,30000000,500000000,48000000,200,"Germany","Berlin",2019,https://n8n.io,"verified: Crunchbase, Series A (2024)",2024-03
121,"LlamaIndex","Developer Tools",big-tech,Private,10000000,500000000,20000000,30,"United States","Seattle",2022,https://www.llamaindex.ai,"verified: Crunchbase, seed (2024)",2024-04
122,"Exscientia","Healthcare & Life Sciences",public-mid,Public,50000000,400000000,,400,"United Kingdom","Oxford",2012,https://www.exscientia.ai,"verified: Yahoo Finance, market cap",2026-07-01
123,"Modal","AI Infrastructure",big-tech,Private,20000000,300000000,43000000,30,"Sweden","Stockholm",2021,https://modal.com,"verified: Crunchbase, Series A (2024)",2024-03
124,"Qdrant","AI Infrastructure",big-tech,Private,20000000,300000000,30000000,60,"Germany","Berlin",2021,https://qdrant.tech,"verified: Crunchbase, seed (2023)",2023-08
125,"CrewAI","Developer Tools",big-tech,Private,5000000,200000000,18000000,15,"United States","San Francisco",2023,https://www.crewai.com,"verified: Crunchbase, seed (2024)",2024-07
126,"AutoGen (Microsoft)","Developer Tools",fortune500,Public,,,,100,"United States","Redmond",2023,https://microsoft.github.io/autogen,"verified: GitHub / Microsoft Research",2026-07-01
127,"Khan Academy (Khanmigo)","Enterprise AI",big-tech,Private,100000000,,,300,"United States","Mountain View",2008,https://www.khanacademy.org,"verified: Khan Academy blog, 2024",2024-06
